Name,Neighborhood,Address,Latitude,Longitude,Cuisine Type,Service Style,Meal Focus,Description,Vegan,Gluten‑Free,Dairy‑Free
French Truck Coffee,Downtown Memphis,"732 Madison Ave APT 101, Memphis, TN 38103",35.14115651,-90.03633043,"Café , Coffeehouse","Casual , Café","Snack, Lunch","French Truck Coffee offers bright, cheerful spaces and a dedication to freshly roasted, high-quality coffee. Their minimalist but inviting café serves pastries and light bites, with options often including vegetarian and vegan-friendly treats. They also offer some gluten-free options including gluten-free bread for sandwiches, making it a great place to get lunch if you are gluten-free. It’s a favorite stop for coffee lovers seeking a cozy place to relax or work, and the locally roasted beans bring a fresh, distinctive flavor to every cup.",1,1,1
French Truck Coffee,Midtown,"1350 Concourse Ave #167, Memphis, TN 38104",35.15199303,-90.01307018,"Café , Coffeehouse","Casual , Café","Snack, Lunch","French Truck Coffee offers bright, cheerful spaces and a dedication to freshly roasted, high-quality coffee. Their minimalist but inviting café serves pastries and light bites, with options often including vegetarian and vegan-friendly treats. They also offer some gluten-free options including gluten-free bread for sandwiches, making it a great place to get lunch if you are gluten-free. It’s a favorite stop for coffee lovers seeking a cozy place to relax or work, and the locally roasted beans bring a fresh, distinctive flavor to every cup.",1,1,1
French Truck Coffee,University District,"395 S Highland St Suite 126, Memphis, TN 38111",35.12048447,-89.9458024,"Café , Coffeehouse","Casual , Café","Snack, Lunch","French Truck Coffee offers bright, cheerful spaces and a dedication to freshly roasted, high-quality coffee. Their minimalist but inviting café serves pastries and light bites, with options often including vegetarian and vegan-friendly treats. They also offer some gluten-free options including gluten-free bread for sandwiches, making it a great place to get lunch if you are gluten-free. It’s a favorite stop for coffee lovers seeking a cozy place to relax or work, and the locally roasted beans bring a fresh, distinctive flavor to every cup.",1,1,1
Global Cafe,Midtown,"1350 Concourse Ave Ste 157, Memphis, TN 38104",35.15185589,-90.01425365,"Global , Cultural","Casual , Community","Lunch, Dinner","Global Cafe, located in Crosstown Concourse, features a unique concept where immigrant and refugee chefs prepare authentic dishes from their home countries. The diverse menu highlights global flavors and changes regularly, offering clearly-marked gluten-free and vegan options alongside meat dishes. With its community-focused mission and welcoming environment, it’s a vibrant celebration of culinary diversity.",1,1,1
Good Fortune Co,Midtown,"361 S Main St, Memphis, TN 38103",35.136699,-90.05769308,"Asian , Ramen & Dumplings",Casual Dining,"Lunch, Dinner","Good Fortune Co. focuses on scratch-made ramen and dumplings, drawing inspiration from various Asian cuisines. They have a bright and lively atmosphere and are committed to providing options for various dietary needs, including clearly labeled vegan, vegetarian, and gluten-free dishes. The menu features a nearly even split of vegetarian and vegan options.",1,1,1
Grecian Gourmet Kitchen,Bartlett,"2965 N Germantown Pkwy #115, Memphis, TN 38133",35.20687127,-89.79348305,"Greek , Mediterranean",Casual Dining,"Lunch, Dinner","Grecian Gourmet Kitchen offers comforting, homemade Greek and Mediterranean dishes in a bright, casual setting. Menu favorites include spanakopita, gyros, and fresh Greek salads. The menu is very vegetarian-friendly, with several vegan and gluten-free options as well, making it a great spot for anyone looking to enjoy wholesome Mediterranean flavors with flexible choices.",1,1,1
Hustle and Dough Cafe and Bakery,Downtown Memphis,"477 S Main St, Memphis, TN 38103",35.13442777,-90.05910031,"Bakery , Café","Casual , Bakery","Breakfast, Lunch","Hustle and Dough is a charming bakery and café known for fresh-baked pastries, hearty breakfast dishes, and artisan coffee. Vegan and vegetarian options are plentiful, including plant-based pastries and savory breakfast bowls. They also offer some gluten-free options. Its welcoming atmosphere and locally sourced ingredients make it a favorite morning stop for both locals and visitors looking for quality and comfort.",1,1,1
Imagine Vegan Cafe,Midtown,"2158 Young Ave, Memphis, TN 38104",35.11974458,-89.99027035,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","Imagine Vegan Cafe offers a diverse menu of hearty and flavorful plant-based dishes made from scratch, including vegan comfort foods and healthy bowls. They cater to gluten-free and soy-free diets, making it a welcoming spot for all vegan diners.",1,1,1
India Palace,Midtown,"1720 Poplar Ave, Memphis, TN 38104",35.14319913,-90.0031398,"Indian , Vegan",Casual Dining,"Lunch, Dinner","India Palace serves traditional Indian vegan dishes such as vegetable curries, lentil dals, and rice specialties. The menu includes numerous gluten-free options and focuses on rich, aromatic spices and fresh ingredients.",1,1,1
Inspire Community Cafe,Midtown,"510 Tillman St #110, Memphis, TN 38112",35.14621684,-89.96071485,"Vegan , Contemporary",Casual Dining,"Snack, Lunch","Inspire Community Cafe is a welcoming vegan spot with a variety of healthy, flavorful bowls, wraps, and smoothies. Their menu is gluten-free and soy-free friendly, focusing on organic and plant-based ingredients for community wellness.",1,1,1
Last Vegan On Earth,Midtown,"Memphis, TN 38104",35.11972871,-89.99866031,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","Last Vegan On Earth serves innovative vegan cuisine with a focus on fresh, organic ingredients and creative flavors. Their menu is fully plant-based and offers many gluten-free and nut-free options, perfect for health-conscious diners.",1,1,1
LiveYaLife Juices,Midtown,"670 Germantown Parkway Suite 14, Cordova, TN 38018",35.1426734,-89.7929067,"Juice Bar , Vegan","Casual , Quick Service","Breakfast, Lunch","LiveYaLife Juices is a vibrant juice bar offering cold-pressed juices, smoothies, and vegan snacks made with organic and raw ingredients. They focus on healthful, allergy-friendly options including gluten-free and soy-free choices.",1,1,1
Loflin Yard,Downtown Memphis,"7 W Carolina Ave, Memphis, TN 38103",35.12816866,-90.06209121,"American , Brewpub","Casual , Taproom","Lunch, Dinner","Loflin Yard is a spacious taproom and brewpub featuring a variety of craft beers brewed on-site alongside a food menu of burgers, sandwiches, and shareable appetizers. Vegetarian and vegan options like salads and veggie burgers are available, making it a welcoming spot for both beer enthusiasts and those seeking casual, tasty food in a lively outdoor setting.",1,0,1
LuLu’s,Midtown,"3119 Poplar Ave, Memphis, TN 38111",35.13121796,-89.95797599,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","LuLu’s is a cozy vegan spot offering a menu of sandwiches, salads, and daily specials that emphasize fresh, local ingredients. Gluten-free and soy-free options are widely available, catering to diverse dietary needs with creative plant-based recipes.",1,1,1
Memphis Toast,North Memphis,"954 Jackson Ave, Memphis, TN 38107",35.15736965,-90.02666296,"Breakfast , Brunch",Casual Dining,"Breakfast, Brunch","Memphis Toast specializes in hearty breakfast and brunch offerings with a Southern twist, featuring items like loaded toast, omelets, and house-made pastries. The menu includes vegetarian and gluten-free choices, with fresh ingredients and generous portions making it a popular morning destination for locals craving comfort food with flair.",0,1,0
MemPops,Midtown,"1350 Concourse Ave Suite 133, Memphis, TN 38104",35.15192363,-90.01496257,"Dessert , Ice Cream","Casual , Quick Service","Snack, Dessert","MemPops is a charming ice cream shop featuring handcrafted popsicles made from fresh, natural ingredients. Vegan and dairy-free options are abundant, with seasonal fruit flavors and creative combinations perfect for cooling off on a hot Memphis day. Many of the options are naturally gluten-free. The colorful, casual setting is family-friendly and perfect for quick, refreshing treats.",1,1,1
Paradise Cafe,Downtown Memphis,"6150 Poplar Ave #120, Memphis, TN 38119",35.10301724,-89.85764534,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","Paradise Cafe serves a variety of vegan dishes inspired by global cuisines, including hearty salads, wraps, and smoothies. They prioritize organic and locally sourced ingredients, with many gluten-free and raw food choices for health-conscious diners.",1,1,1
Raw Girls,East Memphis,"Parking, Lot 5502 Poplar Ave, Memphis, TN 38117",35.10632582,-89.87867805,"Vegan , Raw",Casual Dining,"Lunch, Dinner","Raw Girls specializes in raw vegan cuisine, offering creative dishes made from fresh, uncooked ingredients that maximize nutrients and flavor. Their menu is fully raw, gluten-free, and soy-free, appealing to raw food enthusiasts and health-conscious diners.",1,1,1
Shroomlicious Meals,Midtown,"472 N Watkins St, Memphis, TN 38104",35.15139861,-90.01264406,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","Shroomlicious Meals features mushroom-forward vegan dishes, including hearty bowls, sandwiches, and sides. The menu is fully plant-based with gluten-free options, focusing on earthy flavors and nutritious ingredients.",1,1,1
Sizzler Cuisine of India,Midtown,"581 Old Hickory Blvd k, Jackson, TN 38305",35.66011059,-88.85030326,"Indian , Vegan",Casual Dining,"Lunch, Dinner","Sizzler Cuisine of India delivers authentic Indian flavors with a variety of vegan-friendly options, including rich curries, lentil dishes, and vegetable-based entrees. The menu also features many gluten-free and soy-free choices, blending traditional spices with healthful, inclusive dining.",1,1,1
Slider Inn,Midtown,"363 Mulberry St, Memphis, TN 38103",35.13620302,-90.05707385,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Slider Inn is a lively bar and grill known for its signature sliders, wings, and casual comfort food. The menu offers several vegetarian and gluten-free choices, catering to varied tastes. Slider Inn also offers vegan options which includes vegan versions of their wings. Its energetic setting with regular live music makes it a favorite hangout spot for groups and music enthusiasts.",1,1,0
Slider Inn,Downtown Memphis,"2117 Peabody Ave, Memphis, TN 38104",35.13166804,-89.99101318,"American , Bar & Grill",Casual Dining,"Lunch, Dinner","Slider Inn is a lively bar and grill known for its signature sliders, wings, and casual comfort food. The menu offers several vegetarian and gluten-free choices, catering to varied tastes. Slider Inn also offers vegan options which includes vegan versions of their wings. Its energetic setting with regular live music makes it a favorite hangout spot for groups and music enthusiasts.",1,1,0
Smooth Living,Midtown,"1263 Winchester Rd, Memphis, TN 38116",35.05377853,-90.0216133,"Vegan , Health-Focused","Casual , Quick Service","Breakfast, Snack","Smooth Living features plant-based smoothies, bowls, and snacks made from fresh, organic ingredients. Their menu caters to vegan, gluten-free, and soy-free diets, perfect for health-conscious and active lifestyles.",1,1,1
Staks Pancake Kitchen,East Memphis,"4615 Poplar Ave #102, Memphis, TN 38117",35.11589101,-89.90884164,"Breakfast , Brunch",Casual Dining,"Breakfast, Brunch","Staks Pancake Kitchen is a beloved breakfast spot specializing in pancakes, waffles, and Southern-style breakfast classics. The menu includes vegetarian options and some gluten-free choices. Its cozy atmosphere and generous portions make it a popular destination for morning meals and brunch with family or friends.",0,1,0
Stick ’Em,Midtown,"1788 Madison Ave, Memphis, TN 38104",35.13802328,-90.00159882,"Vegan , Contemporary",Casual Dining,"Lunch, Dinner","Stick ’Em offers creative vegan skewers and small plates with bold flavors and a variety of seasonal vegetables and plant-based proteins. The menu is gluten-free friendly and perfect for casual, shareable meals.",1,1,1
Sun of a Vegan,Midtown,"6075 Winchester Rd, Memphis, TN 38115",35.04821231,-89.86105772,"Vegan , Comfort",Casual Dining,"Lunch, Dinner","Sun of a Vegan offers a broad menu of vegan comfort foods like burgers, sandwiches, and sides, all made with wholesome ingredients. Many gluten-free options are available, ideal for casual, satisfying dining.",1,1,1
Sunrise Memphis,East Memphis,"5469 Poplar Ave, Memphis, TN 38119",35.10605152,-89.87966093,"American , Contemporary","Casual , Upscale","Breakfast, Brunch, Lunch","Sunrise Memphis serves Southern-inspired breakfast, brunch, and lunch featuring biscuits, breakfast sandwiches, omelets, breakfast bowls, salads, wraps, and sandwiches. Signature dishes include the King Biscuit with fried chicken and sausage gravy, the Dirty South with fried green tomatoes, and house-made specialties like pimento cheese and cinnamon rolls. Gluten-free diners can substitute Udi’s bread for biscuits or toast, while vegan options include the tofu scramble “Breakfast of Champions,” Queen’s Oatmeal, Vegan Banh Mi, and customizable dishes like avocado toast and hashbrowns.",1,1,1
Sunrise Memphis,Downtown,"670 Jefferson Ave, Memphis, TN 38105",35.14387733,-90.03816655,"American , Contemporary","Casual , Upscale","Breakfast, Brunch, Lunch","Sunrise Memphis serves Southern-inspired breakfast, brunch, and lunch featuring biscuits, breakfast sandwiches, omelets, breakfast bowls, salads, wraps, and sandwiches. Signature dishes include the King Biscuit with fried chicken and sausage gravy, the Dirty South with fried green tomatoes, and house-made specialties like pimento cheese and cinnamon rolls. Gluten-free diners can substitute Udi’s bread for biscuits or toast, while vegan options include the tofu scramble “Breakfast of Champions,” Queen’s Oatmeal, Vegan Banh Mi, and customizable dishes like avocado toast and hashbrowns.",1,1,1
Swanky’s Taco Shop,East Memphis,"4770 Poplar Ave #102, Memphis, TN 38117",35.115511,-89.90307787,"Mexican , Fast-Casual",Casual Dining,"Lunch, Dinner","Swanky’s Taco Shop offers a fun and casual Mexican dining experience with a menu of tacos, burritos, and other traditional dishes. Vegetarian, vegan, and gluten-free options are plentiful, including fresh salsas and house-made tortillas. The lively atmosphere and bold flavors make it a popular spot for quick, flavorful meals.",1,1,1
Tamboli's Pizza and Pasta,Midtown,"1761 Madison Ave, Memphis, TN 38104",35.1378568,-90.00268784,"Italian , Pizza & Pasta",Casual Dining,"Lunch, Dinner","Tamboli’s Pizza and Pasta serves vegan and gluten-free pizzas and pasta dishes featuring fresh, plant-based ingredients and classic Italian flavors. They cater to gluten-free diets with customizable options.",1,1,1
The Crazy Noodle,Midtown,"2015 Madison Ave, Memphis, TN 38104",35.1368347,-89.9942397,"Asian , Vegan",Casual Dining,"Lunch, Dinner","The Crazy Noodle offers a wide selection of vegan Asian-inspired dishes, including noodle bowls, stir-fries, and dumplings. Many dishes can be made gluten-free and soy-free on request, emphasizing fresh and bold flavors.",1,1,1
Trap Fusion,Cordova,"670 N Germantown Pkwy #14, Cordova, TN 38018",35.142776,-89.79294273,"Vegan , Southern Fusion, Soul Food",Casual Dining,"Lunch, Dinner","Trap Fusion blends Southern soul food with Cajun and Caribbean flavors, offering bold dishes like Jerk Chicken Alfredo, Caribbean Oxtails, Trap Wings, and Fish and Grits. Signature creations such as Gang Bang Skrimpz and Jerk Chicken Pasta highlight the fusion style, while classic comfort dishes anchor the menu. For dietary needs, Trap Fusion provides vegan, gluten-free, and dairy-free options, including a vegan sweet potato pie and BBQ jackfruit sandwich, making it a flavorful destination for all types of diners.",1,1,1
Trap Fusion,Whitehaven,"4637 Boeingshire Dr, Memphis, TN 38116",35.02209148,-89.9974832,"Vegan , Southern Fusion , Soul Food",Casual Dining,"Lunch, Dinner","Trap Fusion blends Southern soul food with Cajun and Caribbean flavors, offering bold dishes like Jerk Chicken Alfredo, Caribbean Oxtails, Trap Wings, and Fish and Grits. Signature creations such as Gang Bang Skrimpz and Jerk Chicken Pasta highlight the fusion style, while classic comfort dishes anchor the menu. For dietary needs, Trap Fusion provides vegan, gluten-free, and dairy-free options, including a vegan sweet potato pie and BBQ jackfruit sandwich, making it a flavorful destination for all types of diners.",1,1,1
Uncle Goyo’s Mexican Restaurant,Germantown,"1730 S Germantown Rd, Germantown, TN 38138",35.10172662,-89.80408124,"Mexican , Casual",Casual Dining,"Lunch, Dinner","Uncle Goyo’s Mexican Restaurant serves authentic Mexican dishes with bold flavors and fresh ingredients. The menu includes vegetarian and gluten-free options such as veggie tacos and gluten-free corn tortillas. Known for its warm hospitality and vibrant décor, it’s a great choice for casual Mexican dining in Memphis.",0,1,0
Plant Based Heat Memphis,Midtown,"669 S Highland St, Memphis, TN 38111",35.1134037,-89.9459775,"Vegan , Southern, Soul Food",Casual Dining,"Lunch, Dinner","Plant Based Heat in Memphis specializes in vegan comfort and Southern-inspired food, reimagining classic dishes with plant-based ingredients. Signature items include smoked Beyond Meat burgers, jackfruit barbecue sandwiches, cauliflower or oyster mushroom “vings,” and creamy vegan mac and cheese. The menu also features BBQ Jackfruit Nachos, a Pecan Meat Philly, and indulgent treats like vegan funnel cakes and strawberry cake. With extensive gluten-free options, including buns, flour, and a gluten-free chicken sandwich, Plant Based Heat offers inclusive, flavorful dining for vegan and gluten-free guests alike.",1,1,1
What the Health Food Truck,Cordova,"7040 Fischer Steel Rd, Cordova, TN 38018",35.14737317,-89.80438057,"Vegan , Street Food","Food Truck , Quick Service","Lunch, Snack","What the Health Food Truck brings delicious vegan street food to Memphis, featuring wraps, bowls, and snacks made from wholesome, organic ingredients. They accommodate gluten-free and soy-free diets, perfect for quick, healthy meals on the go.",1,1,1
Wild Beet Salad,Midtown,"8176 Old Dexter Rd, Memphis, TN 38016",35.17256592,-89.79014963,"Vegan , Salad Bar","Casual , Quick Service","Lunch, Dinner","Wild Beet Salad offers fresh, vibrant vegan salads and bowls packed with seasonal vegetables and house-made dressings. Their menu caters to gluten-free and raw diets, making it a popular spot for nutritious, plant-based meals.",1,1,1
Jacques Louise Gluten Free Bakery and Coffee Shop,Midtown,"2094 Trimble Pl, Memphis, TN 38104",35.13656302,-89.99157176,"Bakery , Coffeehouse","Casual , Bakery","Snack, Dessert","Jacques Louise Bakery in Memphis is a 100% gluten-free bakery and espresso bar, founded by Savannah Kenney to create inclusive meals for everyone. The welcoming, airy space is perfect for enjoying coffee, sweet treats, or savory bites while celebrating community. Their menu features a wide range of gluten-free options, including cakes, cookies, pies, breads, and dairy- or soy-free or vegan choices, all made with high-quality, locally sourced ingredients. Here, no one has to feel left out at the table.",1,1,1
Sweet Musings Bakery and Cafe,Cordova,"1890 N Germantown Pkwy suite 99, Cordova, TN 38016",35.17717082,-89.7922278,"Bakery , Café","Casual , Bakery","Snack, Dessert","Sweet Musings Bakery & Cafe is a charming spot for gluten-free, vegan, and dairy-free diners seeking delicious desserts. Their dedicated gluten-free kitchen crafts breads, cakes, pastries, and sweet treats that everyone can enjoy. Vegan and dairy-free options ensure no one misses out, and plant- and fruit-based colors add vibrant, natural flair. With a cozy, inviting atmosphere and friendly staff, it’s the perfect destination for dessert lovers looking for safe, flavorful, and inclusive indulgence.",1,1,1
Smallcakes,Collierville,"2150 W Poplar Ave Suite 107, Collierville, TN 38017",35.05337454,-89.73472636,"Bakery , Cupcakery","Casual , Bakery","Snack, Dessert","Smallcakes offers a delightful selection of cupcakes and desserts in a welcoming, vibrant setting. While they provide gluten-free, dairy-free, and nut-free options, it's important to note that their kitchen is not certified allergen-free, and cross-contamination may occur. Popular flavors include chocolate and vanilla, with seasonal specials like Birthday Cake and Lemon. Whether you're celebrating or simply indulging, Smallcakes provides a sweet escape with a variety of treats to satisfy diverse dietary preferences.",0,1,1
